,percent_broken,percent_fail_runs,rul_score,mse
cmapss_four2two_jan,0.4,0.6,72.41830809604247,43.02770233154297
cmapss_four2two_jan,0.4,0.4,73.43731901544402,42.9686393737793
cmapss_four2two_jan,0.4,0.4,72.29755369208495,43.05195236206055
cmapss_four2two_jan,0.4,0.4,72.41851924469113,43.027671813964844
cmapss_four2two_jan,0.4,0.2,73.43768098455598,42.96862030029297
cmapss_four2two_jan,0.4,0.2,72.2980061534749,43.051761627197266
cmapss_four2two_jan,0.4,0.2,72.41833071911196,43.02769088745117
cmapss_four2two_jan,0.6,1.0,73.4367458976834,42.968692779541016
cmapss_four2two_jan,0.6,1.0,72.29844353281854,43.051605224609375
cmapss_four2two_jan,0.6,1.0,72.41875301640927,43.02764129638672
cmapss_four2two_jan,0.6,0.8,73.43664032335907,42.96870422363281
cmapss_four2two_jan,0.6,0.8,72.29900156853282,43.05135726928711
cmapss_four2two_jan,0.6,0.8,72.42022351592664,43.027435302734375
cmapss_four2two_jan,0.6,0.6,73.43695704633204,42.96867752075195
cmapss_four2two_jan,0.6,0.6,72.2980061534749,43.0517578125
cmapss_four2two_jan,0.6,0.6,72.41949203667954,43.02754211425781
cmapss_four2two_jan,0.6,0.4,73.43713803088804,42.96868133544922
cmapss_four2two_jan,0.6,0.4,72.29787041505791,43.05182647705078
cmapss_four2two_jan,0.6,0.4,72.42160352316603,43.02723693847656
cmapss_four2two_jan,0.6,0.2,73.43843508687259,42.96863555908203
cmapss_four2two_jan,0.6,0.2,72.2983379584942,43.05162811279297
cmapss_four2two_jan,0.6,0.2,72.4195900699807,43.02752685546875
cmapss_four2two_jan,0.8,1.0,73.42890323359073,42.9690055847168
cmapss_four2two_jan,0.8,1.0,72.29983108108108,43.051029205322266
cmapss_four2two_jan,0.8,1.0,72.43152750965251,43.02592086791992
cmapss_four2two_jan,0.8,0.8,73.42949143339769,42.968994140625
cmapss_four2two_jan,0.8,0.8,72.30013272200772,43.05113220214844
cmapss_four2two_jan,0.8,0.8,72.43134652509653,43.025936126708984
cmapss_four2two_jan,0.8,0.6,73.42727437258688,42.96906661987305
cmapss_four2two_jan,0.8,0.6,72.29995173745174,43.05097579956055
cmapss_four2two_jan,0.8,0.6,72.431685871139,43.02588653564453
cmapss_four2two_jan,0.8,0.4,73.42554747828186,42.969120025634766
cmapss_four2two_jan,0.8,0.4,72.30044190395753,43.05073928833008
cmapss_four2two_jan,0.8,0.4,72.4304868484556,43.02604675292969
cmapss_four2two_jan,0.8,0.2,73.42957438465251,42.968990325927734
cmapss_four2two_jan,0.8,0.2,72.29956714527027,43.051124572753906
cmapss_four2two_jan,0.8,0.2,72.43140685328186,43.02592086791992
cmapss_two2one_dadv,0.0,1.0,54.88553480936294,37.6938591003418
cmapss_two2one_dadv,0.0,1.0,56.59927002895753,28.926328659057617
cmapss_two2one_dadv,0.0,1.0,55.56630444618726,24.897329330444336
cmapss_two2one_dadv,0.0,0.8,54.898328155164094,34.12568664550781
cmapss_two2one_dadv,0.0,0.8,56.60733138272201,25.607696533203125
cmapss_two2one_dadv,0.0,0.8,31.978123491795365,22.44683837890625
cmapss_two2one_dadv,0.0,0.6,54.91655103764479,38.02320861816406
